Date,1 AUD,100 BGN,1 BRL,1 CAD,100 CHF,100 CNY,100 CZK,100 DKK,1 EUR,1 GBP,1 HKD,100 HRK,100 HUF, I44,100 IDR,1 ILS,100 INR,100 JPY,100 KRW,1 LTL,100 MXN,1 MYR,1 NZD,100 PHP,100 PKR,1 PLN,100 RON,100 RUB,100 SEK,1 SGD,100 THB,100 TRY,100 TWD, TWI,1 USD,1 XDR,1 ZAR,100 BYR,1 BYN
30.Jan.01,4.8492,418.6,4.4796,5.9284,538.44,106.65,23.62,109.73,8.1865,12.999,1.1413,ND,3.087,102.46,0.094,ND,19.045,7.6239,0.7034,2.225,ND,2.3238,3.8806,17.891,15.106,2.159,ND,31.081,92.6,5.093,20.856,ND,27.524,106.81,8.9013,11.4943,1.131,ND,ND
31.Jan.01,4.8168,419.54,4.4368,5.88,536.2,105.48,23.652,109.97,8.205,12.887,1.1321,ND,3.094,102.31,0.093,ND,18.843,7.6064,0.7012,2.207,ND,2.2981,3.8862,17.856,14.799,2.161,ND,30.672,92.82,5.0667,20.784,ND,27.327,106.78,8.8292,11.4585,1.1389,ND,ND
01.Feb.01,4.842,420.06,4.4074,5.8352,535.85,105.38,23.545,110.04,8.213,12.891,1.1196,ND,3.096,102.08,0.092,ND,18.818,7.5557,0.6949,2.182,ND,2.2956,3.9041,17.8,14.935,2.156,ND,30.655,92.31,5.0137,20.654,ND,27,106.56,8.7317,11.3987,1.127,ND,ND
02.Feb.01,4.8381,419.63,4.3785,5.8415,533.59,105.16,23.536,109.95,8.205,12.893,1.1184,ND,3.093,101.98,0.092,ND,18.78,7.5671,0.6986,2.18,ND,2.2907,3.9268,17.837,14.867,2.163,ND,30.597,92.05,5.0208,20.613,ND,27.046,106.47,8.7222,11.3865,1.1276,ND,ND
05.Feb.01,4.8098,419.66,4.398,5.8156,533.32,105.95,23.549,109.91,8.204,12.845,1.1161,ND,3.092,101.87,0.091,ND,18.92,7.5418,0.6895,2.176,ND,2.3081,3.8478,17.934,14.991,2.162,ND,30.827,91.81,4.9973,20.44,ND,26.966,106.29,8.7045,11.3581,1.1192,ND,ND
06.Feb.01,4.8074,418.37,4.3945,5.8045,531.36,106.09,23.583,109.53,8.175,12.842,1.1243,ND,3.081,101.83,0.092,ND,18.956,7.6366,0.6971,2.192,ND,2.3106,3.8735,18.141,14.978,2.154,ND,30.839,91.68,5.0317,20.639,ND,27.218,106.2,8.7696,11.4228,1.1249,ND,ND
07.Feb.01,4.8077,418.97,4.4248,5.81,531.93,107.08,23.614,109.71,8.1875,12.865,1.1256,ND,3.086,101.98,0.092,ND,19.113,7.5558,0.6945,2.195,ND,2.3326,3.8873,18.312,15.029,2.162,ND,31.114,91.87,5.0224,20.637,ND,27.251,106.31,8.7802,11.4189,1.1224,ND,ND
08.Feb.01,4.8124,418.28,4.4512,5.872,533.67,107.19,23.583,109.52,8.1715,12.858,1.1363,ND,3.078,102.11,0.092,ND,19.14,7.6391,0.7009,2.216,ND,2.3348,3.8893,18.462,15.074,2.168,ND,31.068,92.03,5.0764,20.851,ND,27.507,106.4,8.8628,11.52,1.1099,ND,ND
09.Feb.01,4.7673,418.97,4.4375,5.8757,533.33,106.7,23.678,109.71,8.1855,12.826,1.1374,ND,3.083,102.06,0.092,ND,19.023,7.5582,0.7032,2.218,ND,2.3239,3.8831,18.397,15.072,2.161,ND,30.798,91.85,5.0769,20.822,ND,27.533,106.38,8.8712,11.5166,1.1246,ND,ND
12.Feb.01,4.7452,419.75,4.4719,5.8319,533.67,107.02,23.689,109.92,8.202,12.82,1.1322,ND,3.089,102.04,0.093,ND,19.072,7.5096,0.6984,2.208,ND,2.3313,3.855,18.611,15.053,2.166,ND,30.895,91.65,5.0558,20.722,ND,27.365,106.34,8.8307,11.4587,1.1253,ND,ND
13.Feb.01,4.7626,420.52,4.5274,5.8088,534.51,108.2,23.763,110.13,8.2165,12.887,1.1358,ND,3.093,102.29,0.094,ND,19.267,7.5665,0.7061,2.214,ND,2.3569,3.8655,18.853,15.165,2.174,ND,31.201,91.37,5.0779,20.869,ND,27.439,106.54,8.8588,11.5044,1.1271,ND,ND
